Label,area_0,area_1,area_2,area_3,area_4
Parasitized,151.5,8.5,5.5,2.5,13571.5
Parasitized,169.5,207.5,8455,0,0
Parasitized,242,15585.5,0,0,0
Parasitized,13.5,26.5,34.5,24.5,407.5
Parasitized,144.5,11719.5,0,0,0
Parasitized,255,13.5,59.5,211,2
Parasitized,17.5,95,180.5,87,12137.5
Parasitized,47.5,86,23.5,151.5,55.5
Parasitized,164,20810,0,0,0
Parasitized,100,0,6607,0,0
Parasitized,105.5,39.5,568,45,2
Parasitized,2,0.5,0.5,0,9072.5
Parasitized,57,204,12422.5,0,0
Parasitized,154,10285.5,0,0,0
Parasitized,5.5,16,8.5,86,1870.5
Parasitized,172.5,140,15,14983,0
Parasitized,50.5,73.5,27.5,21.5,29.5
Parasitized,172,16190,0,0,0
Parasitized,176,18187.5,0,0,0
Parasitized,457.5,13172,0,0,0
Parasitized,325,2,10847,0,0
Parasitized,89,14375,0,0,0
Parasitized,7325,0,0,0,0
Parasitized,15.5,192,10441,0,0
Parasitized,4,25,49,522.5,12737
Parasitized,43.5,199,14923.5,0,0
Parasitized,57,106,13990,0,0
Parasitized,138,15924.5,0,0,0
Parasitized,203,13585,0,0,0
Parasitized,145.5,10869.5,0,0,0
Parasitized,66.5,41.5,16406,0,0
Parasitized,189.5,182.5,28042,0,0
Parasitized,220,155,2,80,4
Parasitized,54.5,54.5,12542,0,0
Parasitized,33,56.5,11637,0,0
Parasitized,123.5,14113.5,0,0,0
Parasitized,7786,0,0,0,0
Parasitized,172,160,11006.5,0,0
Parasitized,638,12041.5,0,0,0
Parasitized,15,30.5,9260,0,0
Parasitized,161.5,11733,0,0,0
Parasitized,183.5,14864.5,0,0,0
Parasitized,111,129,13141.5,0,0
Parasitized,103,12917,0,0,0
Parasitized,127,31151,0,0,0
Parasitized,181,15007.5,0,0,0
Parasitized,11,20,46.5,5.5,310
Parasitized,31,26,4,351,5.5
Parasitized,11129,0,0,0,0
Parasitized,58,14452,0,0,0
Parasitized,184,31.5,4304.5,9815,0
Parasitized,4,249.5,7587.5,0,0
Parasitized,158.5,11590.5,0,0,0
Parasitized,32,5.5,10,15,30.5
Parasitized,2,23,13083.5,0,0
Parasitized,71.5,42,253,10436,0
Parasitized,6954,0,0,0,0
Parasitized,188,11274,0,0,0
Parasitized,0,8.5,48,10181,0
Parasitized,12.5,2,10,2,4862
Parasitized,161,11153,0,0,0
Parasitized,15,229.5,38,11541,0
Parasitized,670,11152,0,0,0
Parasitized,121,37,15005.5,0,0
Parasitized,82,11987,0,0,0
Parasitized,239.5,12869,0,0,0
Parasitized,141,85,8826,0,0
Parasitized,165.5,11724,0,0,0
Parasitized,228.5,97.5,18598,0,0
Parasitized,94.5,86.5,190.5,129,14633.5
Parasitized,278.5,114,4,0,5108.5
Parasitized,15764.5,0,0,0,0
Parasitized,13547,0,0,0,0
Parasitized,181,9496.5,0,0,0
Parasitized,177.5,13656.5,0,0,0
Parasitized,319.5,8270.5,0,0,0
Parasitized,13,275,15.5,83,88.5
